type,time,id,side,size,price,cancSize,execSize,oldId,oldSize,oldPrice
E,0 days 09:06:19.513860480,144162,1,895.0,291.06,,5.0,,,
E,0 days 09:06:21.006046197,144162,1,95.0,291.06,,800.0,,,
E,0 days 09:08:05.805069790,146102,0,2960.0,291.02,,40.0,,,
E,0 days 09:08:05.805106096,146102,0,60.0,291.02,,2900.0,,,
E,0 days 09:08:05.805106096,146102,0,0.0,291.02,,60.0,,,
E,0 days 09:08:05.805106096,146209,0,60.0,291.02,,40.0,,,
E,0 days 09:08:05.806061650,146209,0,0.0,291.02,,60.0,,,
E,0 days 09:09:23.979738325,153704,0,0.0,290.97,,500.0,,,
E,0 days 09:09:23.979738325,153705,0,0.0,290.97,,500.0,,,
E,0 days 09:09:23.979738325,153769,0,0.0,290.97,,500.0,,,
E,0 days 09:09:23.979921697,153703,0,0.0,290.96,,500.0,,,
E,0 days 09:09:23.979921697,153708,0,0.0,290.96,,500.0,,,
E,0 days 09:09:23.981338264,150139,0,0.0,290.94,,100.0,,,
E,0 days 09:09:29.749811822,143604,0,0.0,290.91,,500.0,,,
E,0 days 09:11:40.775086564,157495,1,0.0,290.94,,3000.0,,,
E,0 days 09:11:40.775086564,158395,1,0.0,290.94,,100.0,,,
E,0 days 09:12:08.639903798,161634,0,0.0,290.92,,100.0,,,
E,0 days 09:15:33.653282173,172575,1,0.0,290.91,,500.0,,,
E,0 days 09:15:33.653282173,172576,1,0.0,290.91,,500.0,,,
E,0 days 09:18:09.946989008,181076,0,2900.0,290.9,,100.0,,,
E,0 days 09:18:09.946989008,181076,0,2800.0,290.9,,100.0,,,
E,0 days 09:18:12.877695795,181419,1,0.0,290.93,,3000.0,,,
E,0 days 09:21:41.649644160,194911,0,0.0,290.9,,500.0,,,
E,0 days 09:21:41.649644160,195312,0,0.0,290.9,,500.0,,,
E,0 days 09:21:41.649802918,194015,0,0.0,290.89,,500.0,,,
E,0 days 09:21:49.909809402,195917,0,0.0,290.87,,500.0,,,
E,0 days 09:21:49.909809402,195918,0,0.0,290.87,,500.0,,,
E,0 days 09:21:49.909809402,195921,0,0.0,290.87,,500.0,,,
E,0 days 09:21:49.909809402,195897,0,0.0,290.86,,500.0,,,
E,0 days 09:21:49.909809402,196008,0,0.0,290.86,,500.0,,,
E,0 days 09:22:07.503506330,198056,1,0.0,290.88,,500.0,,,
E,0 days 09:24:26.015469386,209223,0,0.0,290.86,,500.0,,,
E,0 days 09:24:26.015469386,209234,0,0.0,290.86,,500.0,,,
E,0 days 09:24:26.015671771,196752,0,0.0,290.84,,100.0,,,
E,0 days 09:24:30.320969922,209517,1,0.0,290.85,,500.0,,,
E,0 days 09:25:21.995440242,213912,1,0.0,290.91,,500.0,,,
E,0 days 09:25:34.130131584,215074,1,100.0,290.93,,400.0,,,
E,0 days 09:25:34.130131584,215076,1,100.0,290.93,,400.0,,,
E,0 days 09:27:20.917821379,224549,1,380.0,290.96,,120.0,,,
E,0 days 09:27:20.917821379,224550,1,400.0,290.96,,100.0,,,
E,0 days 09:27:20.917821379,224551,1,420.0,290.96,,80.0,,,
E,0 days 09:28:02.743187174,229387,1,1000.0,290.94,,2000.0,,,
E,0 days 09:28:05.767745426,231908,1,0.0,290.91,,500.0,,,
E,0 days 09:28:05.767745426,231910,1,0.0,290.91,,500.0,,,
E,0 days 09:28:05.767745426,231911,1,0.0,290.91,,500.0,,,
E,0 days 09:28:23.375525000,232820,1,0.0,290.93,,500.0,,,
E,0 days 09:28:25.046504886,233983,1,400.0,290.93,,100.0,,,
E,0 days 09:28:49.467981292,236195,1,300.0,290.93,,200.0,,,
E,0 days 09:28:49.467981292,236196,1,300.0,290.93,,200.0,,,
E,0 days 09:28:49.467981292,236195,1,200.0,290.93,,100.0,,,
E,0 days 09:28:50.499478395,236195,1,80.0,290.93,,120.0,,,
E,0 days 09:28:50.499478395,236196,1,200.0,290.93,,100.0,,,
E,0 days 09:28:50.499478395,236252,1,220.0,290.93,,80.0,,,
E,0 days 09:28:50.859525824,236252,1,120.0,290.93,,100.0,,,
E,0 days 09:28:50.859525824,236196,1,100.0,290.93,,100.0,,,
E,0 days 09:28:50.859525824,236242,1,100.0,290.93,,100.0,,,
E,0 days 09:28:50.859525824,236344,1,100.0,290.93,,100.0,,,
E,0 days 09:28:50.859525824,236252,1,20.0,290.93,,100.0,,,
E,0 days 09:28:50.897644553,236414,1,0.0,290.93,,200.0,,,
E,0 days 09:28:50.897644553,236196,1,0.0,290.93,,100.0,,,
E,0 days 09:28:50.897644553,236242,1,0.0,290.93,,100.0,,,
E,0 days 09:28:50.897644553,236344,1,0.0,290.93,,100.0,,,
E,0 days 09:28:50.897644553,236380,1,0.0,290.93,,100.0,,,
E,0 days 09:28:50.897644553,236195,1,0.0,290.93,,80.0,,,
E,0 days 09:28:50.897644553,236252,1,0.0,290.93,,20.0,,,
E,0 days 09:28:51.198210773,236434,1,300.0,290.93,,200.0,,,
E,0 days 09:28:51.198210773,236435,1,300.0,290.93,,200.0,,,
E,0 days 09:28:51.198210773,236434,1,200.0,290.93,,100.0,,,
E,0 days 09:28:51.838036408,236434,1,0.0,290.93,,200.0,,,
E,0 days 09:28:51.838036408,236435,1,200.0,290.93,,100.0,,,
E,0 days 09:28:51.838036408,236451,1,200.0,290.93,,100.0,,,
E,0 days 09:28:51.838036408,236435,1,100.0,290.93,,100.0,,,
E,0 days 09:28:52.242380429,236464,1,0.0,290.93,,300.0,,,
E,0 days 09:28:52.242380429,236440,1,0.0,290.93,,200.0,,,
E,0 days 09:28:52.242380429,236451,1,0.0,290.93,,200.0,,,
E,0 days 09:28:52.242380429,236465,1,0.0,290.93,,200.0,,,
E,0 days 09:28:52.242380429,236435,1,0.0,290.93,,100.0,,,
E,0 days 09:28:52.991978449,236520,1,0.0,290.93,,500.0,,,
E,0 days 09:28:52.991978449,236551,1,0.0,290.93,,500.0,,,
E,0 days 09:28:54.282684634,236571,1,0.0,290.93,,500.0,,,
E,0 days 09:28:54.282684634,236572,1,0.0,290.93,,500.0,,,
E,0 days 09:28:54.425670543,236191,1,0.0,290.94,,500.0,,,
E,0 days 09:28:54.425670543,236192,1,0.0,290.94,,500.0,,,
E,0 days 09:28:54.483910864,236783,1,0.0,290.93,,500.0,,,
E,0 days 09:28:55.694096563,236806,1,200.0,290.93,,300.0,,,
E,0 days 09:29:06.206730362,237926,1,0.0,290.96,,500.0,,,
E,0 days 09:29:06.206730362,237927,1,0.0,290.96,,500.0,,,
E,0 days 09:29:07.524509830,237973,1,480.0,290.96,,20.0,,,
E,0 days 09:29:07.668518221,237991,1,0.0,290.96,,500.0,,,
E,0 days 09:29:07.668518221,237973,1,0.0,290.96,,480.0,,,
E,0 days 09:29:24.094397706,239529,1,0.0,290.96,,500.0,,,
E,0 days 09:29:24.094397706,239530,1,0.0,290.96,,500.0,,,
E,0 days 09:30:00.025775191,249894,0,200.0,290.94,,300.0,,,
E,0 days 09:30:00.025775191,249895,0,200.0,290.94,,300.0,,,
E,0 days 09:30:01.131331993,282974,1,0.0,290.93,,10.0,,,
E,0 days 09:30:01.684653049,292532,0,0.0,290.91,,500.0,,,
E,0 days 09:30:01.684653049,238440,0,0.0,290.87,,500.0,,,
E,0 days 09:30:01.696104362,293132,1,0.0,290.88,,500.0,,,
E,0 days 09:30:01.745674615,293587,1,0.0,290.9,,100.0,,,
E,0 days 09:30:01.887845665,293943,1,100.0,290.91,,400.0,,,
E,0 days 09:30:01.887845665,293944,1,100.0,290.91,,400.0,,,
E,0 days 09:30:01.887845665,293943,1,77.0,290.91,,23.0,,,
E,0 days 09:30:02.479312940,295230,1,13.0,290.92,,87.0,,,
E,0 days 09:30:02.593077950,295230,1,0.0,290.92,,13.0,,,
E,0 days 09:30:02.977311172,300716,0,200.0,290.93,,300.0,,,
E,0 days 09:30:03.775910867,300489,1,24.0,290.95,,76.0,,,
E,0 days 09:30:03.879075618,300489,1,0.0,290.95,,24.0,,,
E,0 days 09:30:05.417054405,310045,1,0.0,290.97,,100.0,,,
E,0 days 09:30:10.573928214,331306,0,300.0,290.99,,200.0,,,
E,0 days 09:30:10.573928214,331306,0,244.0,290.99,,56.0,,,
E,0 days 09:30:14.791190903,343628,0,0.0,290.99,,500.0,,,
E,0 days 09:30:14.791190903,343727,0,0.0,290.99,,500.0,,,
E,0 days 09:30:17.007473796,346401,1,900.0,291.0,,100.0,,,
E,0 days 09:30:17.007484779,346401,1,400.0,291.0,,500.0,,,
E,0 days 09:30:40.210154184,395604,0,0.0,290.93,,500.0,,,
E,0 days 09:30:40.210154184,395612,0,0.0,290.93,,500.0,,,
E,0 days 09:30:46.366650873,405665,1,76.0,290.92,,24.0,,,
E,0 days 09:30:52.196001288,415284,0,400.0,290.88,,100.0,,,
E,0 days 09:31:00.627366773,434438,0,0.0,290.89,,100.0,,,
E,0 days 09:31:00.627366773,435221,0,300.0,290.89,,200.0,,,
E,0 days 09:31:00.627366773,435222,0,300.0,290.89,,200.0,,,
E,0 days 09:31:00.627366773,435221,0,200.0,290.89,,100.0,,,
E,0 days 09:31:03.668149991,445531,0,0.0,290.91,,500.0,,,
E,0 days 09:31:03.842139141,446251,0,0.0,290.89,,100.0,,,
E,0 days 09:31:04.679163838,446667,0,0.0,290.91,,100.0,,,
E,0 days 09:31:11.844507909,463290,1,0.0,290.93,,100.0,,,
E,0 days 09:31:13.722620568,468359,0,0.0,290.92,,100.0,,,
E,0 days 09:31:22.108391039,486572,1,0.0,290.91,,300.0,,,
E,0 days 09:31:22.108391039,486571,1,0.0,290.91,,100.0,,,
E,0 days 09:31:22.108391039,486613,1,0.0,290.91,,100.0,,,
E,0 days 09:31:25.849909299,492036,0,0.0,290.91,,100.0,,,
E,0 days 09:31:25.849909299,493056,0,0.0,290.91,,100.0,,,
E,0 days 09:31:29.976830925,499957,0,0.0,290.92,,100.0,,,
E,0 days 09:31:30.580275376,503852,1,0.0,290.91,,100.0,,,
E,0 days 09:31:30.580886044,503863,1,0.0,290.91,,200.0,,,
E,0 days 09:31:30.580886044,503858,1,0.0,290.91,,100.0,,,
E,0 days 09:31:31.046624904,504784,0,0.0,290.91,,100.0,,,
E,0 days 09:31:33.732293789,501875,1,0.0,290.92,,100.0,,,
E,0 days 09:31:42.578823511,531579,0,0.0,290.9,,100.0,,,
E,0 days 09:31:42.582956496,531729,1,0.0,290.91,,300.0,,,
E,0 days 09:31:42.582956496,531730,1,0.0,290.91,,100.0,,,
E,0 days 09:31:46.998560562,534733,0,0.0,290.9,,100.0,,,
E,0 days 09:31:57.975583348,564429,0,0.0,290.88,,100.0,,,
E,0 days 09:31:57.976190033,564520,0,83.0,290.88,,17.0,,,
E,0 days 09:32:02.382163391,563704,1,0.0,290.91,,800.0,,,
E,0 days 09:32:02.382163391,568270,1,0.0,290.91,,500.0,,,
E,0 days 09:32:02.382163391,568271,1,0.0,290.91,,500.0,,,
E,0 days 09:32:06.057191704,586577,1,300.0,290.94,,100.0,,,
E,0 days 09:32:06.057218531,586577,1,0.0,290.94,,300.0,,,
E,0 days 09:32:06.076462877,588105,0,0.0,290.94,,200.0,,,
E,0 days 09:32:06.076462877,588106,0,0.0,290.94,,200.0,,,
E,0 days 09:32:06.076462877,588293,0,0.0,290.94,,100.0,,,
E,0 days 09:32:16.683365200,615836,1,0.0,290.91,,100.0,,,
E,0 days 09:32:25.706116473,637348,0,0.0,290.93,,100.0,,,
E,0 days 09:32:28.123500047,640666,1,400.0,290.93,,100.0,,,
E,0 days 09:32:28.405723500,642912,1,0.0,290.92,,200.0,,,
E,0 days 09:32:28.405948470,642938,1,0.0,290.92,,500.0,,,
E,0 days 09:32:28.405948470,642931,1,0.0,290.92,,200.0,,,
E,0 days 09:32:30.969995849,643516,1,0.0,290.93,,100.0,,,
E,0 days 09:32:35.114571063,656755,1,0.0,290.89,,100.0,,,
E,0 days 09:32:35.116383711,656853,1,0.0,290.89,,200.0,,,
E,0 days 09:32:35.127342841,656946,0,200.0,290.88,,300.0,,,
E,0 days 09:32:35.127342841,655429,0,100.0,290.88,,100.0,,,
E,0 days 09:32:35.127342841,656946,0,107.0,290.88,,93.0,,,
E,0 days 09:32:42.148290925,667384,1,0.0,290.93,,100.0,,,
E,0 days 09:32:46.908912109,685929,1,0.0,290.98,,100.0,,,
E,0 days 09:32:49.286149711,687938,1,300.0,290.98,,100.0,,,
E,0 days 09:32:49.286240246,687938,1,100.0,290.98,,200.0,,,
E,0 days 09:32:49.286277426,687938,1,0.0,290.98,,100.0,,,
E,0 days 09:32:55.240300482,699905,1,0.0,291.02,,100.0,,,
E,0 days 09:32:55.240300482,705916,1,0.0,291.02,,100.0,,,
E,0 days 09:32:57.052897031,707767,1,0.0,291.03,,400.0,,,
E,0 days 09:32:58.574962873,706124,0,0.0,291.02,,100.0,,,
E,0 days 09:32:58.599136605,714505,0,0.0,291.01,,100.0,,,
E,0 days 09:33:00.985419832,720229,1,0.0,291.03,,400.0,,,
E,0 days 09:33:02.582890108,726016,1,0.0,291.04,,300.0,,,
E,0 days 09:33:02.582890108,726015,1,0.0,291.04,,100.0,,,
E,0 days 09:33:07.344487878,738546,0,0.0,291.03,,100.0,,,
E,0 days 09:33:07.344892366,738550,0,0.0,291.03,,100.0,,,
E,0 days 09:33:07.345469084,738556,0,0.0,291.03,,100.0,,,
E,0 days 09:33:08.130198565,740706,1,0.0,291.02,,100.0,,,
E,0 days 09:33:08.567897282,742113,0,0.0,291.01,,100.0,,,
E,0 days 09:33:13.175428366,753921,1,0.0,291.02,,300.0,,,
E,0 days 09:33:13.175428366,753922,1,0.0,291.02,,100.0,,,
E,0 days 09:33:14.001456746,755400,1,0.0,291.02,,300.0,,,
E,0 days 09:33:20.289366150,769066,1,0.0,291.0,,100.0,,,
E,0 days 09:33:20.289366150,769068,1,100.0,291.0,,200.0,,,
E,0 days 09:33:20.289552924,769068,1,0.0,291.0,,100.0,,,
E,0 days 09:33:22.226945376,773699,1,0.0,291.0,,100.0,,,
E,0 days 09:33:33.122746995,793639,1,55.0,291.03,,45.0,,,
E,0 days 09:33:43.421992447,812394,0,0.0,291.05,,100.0,,,
E,0 days 09:33:43.793136599,814937,1,0.0,291.04,,100.0,,,
E,0 days 09:33:50.233596185,820252,0,0.0,291.02,,100.0,,,
E,0 days 09:33:51.150575958,830883,1,0.0,291.02,,100.0,,,
E,0 days 09:33:52.332765658,833057,1,0.0,291.02,,500.0,,,
E,0 days 09:33:52.332765658,833059,1,0.0,291.02,,200.0,,,
E,0 days 09:33:52.332968140,833065,1,0.0,291.02,,200.0,,,
E,0 days 09:33:52.332968140,833067,1,2000.0,291.02,,1000.0,,,
E,0 days 09:33:52.333012469,833067,1,0.0,291.02,,2000.0,,,
E,0 days 09:33:52.333012469,833070,1,0.0,291.02,,500.0,,,
E,0 days 09:33:54.743975868,840250,1,0.0,291.02,,200.0,,,
E,0 days 09:33:54.802650059,841592,1,0.0,291.0,,100.0,,,
E,0 days 09:33:55.386363565,844409,0,0.0,290.99,,200.0,,,
E,0 days 09:33:58.410037876,846168,0,0.0,290.99,,100.0,,,
E,0 days 09:34:05.481448875,866992,0,0.0,290.96,,100.0,,,
E,0 days 09:34:06.663365193,864606,1,0.0,290.97,,100.0,,,
E,0 days 09:34:08.592739218,873133,1,0.0,290.97,,100.0,,,
E,0 days 09:34:10.594035192,877384,0,90.0,290.93,,10.0,,,
E,0 days 09:34:10.599356733,877384,0,80.0,290.93,,10.0,,,
E,0 days 09:34:12.887698489,884525,1,0.0,290.94,,100.0,,,
E,0 days 09:34:25.550918615,910880,0,0.0,290.95,,300.0,,,
E,0 days 09:34:25.550918615,910881,0,0.0,290.95,,200.0,,,
E,0 days 09:34:35.908497713,931097,1,2800.0,290.93,,200.0,,,
E,0 days 09:34:35.908677006,931097,1,2764.0,290.93,,36.0,,,
E,0 days 09:34:40.040015619,928427,1,400.0,290.94,,2600.0,,,
E,0 days 09:34:40.040015619,930827,1,100.0,290.94,,100.0,,,
E,0 days 09:34:40.040015619,928427,1,300.0,290.94,,100.0,,,
E,0 days 09:34:40.040015619,930827,1,0.0,290.94,,100.0,,,
E,0 days 09:34:40.040015619,928410,1,0.0,290.94,,100.0,,,
E,0 days 09:34:40.040015619,928487,1,96.0,290.94,,4.0,,,
E,0 days 09:34:42.621285709,945486,1,0.0,290.95,,100.0,,,
E,0 days 09:34:44.195541527,949921,1,0.0,290.94,,100.0,,,
E,0 days 09:34:50.853251280,964574,1,0.0,290.95,,100.0,,,
E,0 days 09:34:59.873709967,985060,1,0.0,290.93,,200.0,,,
E,0 days 09:34:59.873709967,985333,1,0.0,290.93,,200.0,,,
E,0 days 09:35:02.077513635,994301,1,300.0,290.96,,200.0,,,
E,0 days 09:35:02.077513635,996025,1,300.0,290.96,,200.0,,,
E,0 days 09:35:02.077513635,994301,1,200.0,290.96,,100.0,,,
E,0 days 09:35:02.571141408,994520,0,98.0,290.95,,2.0,,,
E,0 days 09:35:02.571284847,994520,0,96.0,290.95,,2.0,,,
E,0 days 09:35:02.956296929,1001392,1,0.0,290.95,,200.0,,,
E,0 days 09:35:02.956708461,1001400,1,0.0,290.95,,200.0,,,
E,0 days 09:35:02.958184698,1001406,1,0.0,290.95,,200.0,,,
E,0 days 09:35:03.091801698,1001824,1,0.0,290.95,,100.0,,,
E,0 days 09:35:05.221586835,1008742,1,0.0,290.96,,500.0,,,
E,0 days 09:35:05.221586835,1005335,1,0.0,290.96,,100.0,,,
E,0 days 09:35:05.221586835,1005347,1,0.0,290.96,,100.0,,,
E,0 days 09:35:06.407828716,1012832,0,0.0,290.99,,100.0,,,
E,0 days 09:35:08.791475902,1020772,1,0.0,290.98,,200.0,,,
E,0 days 09:35:09.012004074,1022264,1,220.0,290.97,,280.0,,,
E,0 days 09:35:09.012004074,1022266,1,2600.0,290.97,,400.0,,,
E,0 days 09:35:09.012004074,1022266,1,2580.0,290.97,,20.0,,,
E,0 days 09:35:11.757913429,1031026,0,24.0,290.98,,76.0,,,
E,0 days 09:35:18.730378381,1050809,0,0.0,290.99,,100.0,,,
E,0 days 09:35:29.376325084,1085067,1,0.0,291.02,,100.0,,,
E,0 days 09:35:34.163384850,1096657,1,0.0,291.04,,100.0,,,
E,0 days 09:35:34.326929721,1094839,0,0.0,291.03,,100.0,,,
E,0 days 09:35:34.348994100,1097612,1,0.0,291.03,,100.0,,,
E,0 days 09:35:38.467214874,1110679,1,0.0,291.02,,100.0,,,
E,0 days 09:35:42.734416411,1108416,1,0.0,291.03,,100.0,,,
E,0 days 09:35:55.066453822,1150587,1,0.0,291.06,,500.0,,,
E,0 days 09:35:55.066453822,1153010,1,0.0,291.07,,200.0,,,
E,0 days 09:35:55.066453822,1152971,1,0.0,291.07,,100.0,,,
E,0 days 09:35:55.073788725,1158256,0,0.0,291.07,,100.0,,,
E,0 days 09:35:57.378977190,1159180,0,0.0,291.07,,100.0,,,
E,0 days 09:35:57.588249677,1166679,1,0.0,291.07,,300.0,,,
E,0 days 09:35:59.879321647,1174180,1,0.0,291.09,,100.0,,,
E,0 days 09:36:03.260360203,1186770,1,0.0,291.07,,100.0,,,
E,0 days 09:36:04.641583523,1193637,1,0.0,291.07,,200.0,,,
E,0 days 09:36:09.137706513,1211024,1,0.0,291.05,,100.0,,,
E,0 days 09:36:35.817338844,1286030,0,0.0,291.06,,100.0,,,
E,0 days 09:36:38.415295926,1290453,1,0.0,291.06,,500.0,,,
E,0 days 09:36:38.415295926,1291994,1,500.0,291.06,,2500.0,,,
E,0 days 09:36:38.415295926,1291534,1,100.0,291.06,,400.0,,,
E,0 days 09:36:38.415295926,1291994,1,400.0,291.06,,100.0,,,
E,0 days 09:36:38.415295926,1291534,1,77.0,291.06,,23.0,,,
E,0 days 09:36:38.415386859,1291994,1,0.0,291.06,,400.0,,,
E,0 days 09:36:38.415386859,1291534,1,0.0,291.06,,77.0,,,
E,0 days 09:36:38.515648177,1295254,0,160.0,291.06,,40.0,,,
E,0 days 09:36:38.515648177,1295857,0,2940.0,291.06,,60.0,,,
E,0 days 09:36:38.928094410,1295277,0,0.0,291.05,,300.0,,,
E,0 days 09:36:38.928094410,1295239,0,0.0,291.05,,100.0,,,
E,0 days 09:36:41.819836590,1302607,0,0.0,291.05,,100.0,,,
E,0 days 09:36:45.981199541,1319007,1,0.0,291.05,,100.0,,,
E,0 days 09:36:45.982202493,1319010,1,0.0,291.05,,100.0,,,
E,0 days 09:36:45.982880040,1319014,1,0.0,291.05,,100.0,,,
E,0 days 09:36:45.985006037,1319017,1,0.0,291.05,,100.0,,,
E,0 days 09:36:45.985555270,1319019,1,0.0,291.05,,100.0,,,
E,0 days 09:36:45.986881935,1319022,1,0.0,291.05,,100.0,,,
E,0 days 09:36:46.492606559,1320139,1,0.0,291.05,,300.0,,,
E,0 days 09:36:50.148703602,1333585,1,0.0,291.07,,200.0,,,
E,0 days 09:36:50.149591486,1333616,1,0.0,291.07,,300.0,,,
E,0 days 09:36:51.544332588,1338112,1,0.0,291.07,,300.0,,,
E,0 days 09:36:51.544534716,1337446,0,0.0,291.06,,200.0,,,
E,0 days 09:36:59.381660116,1359912,1,0.0,291.02,,300.0,,,
E,0 days 09:36:59.381660116,1359913,1,0.0,291.02,,100.0,,,
E,0 days 09:37:01.541898793,1368148,1,0.0,291.0,,100.0,,,
E,0 days 09:37:11.457107325,1399350,0,200.0,291.03,,100.0,,,
E,0 days 09:37:16.145301446,1410592,0,0.0,291.02,,100.0,,,
E,0 days 09:37:16.252873078,1412773,1,0.0,291.02,,200.0,,,
E,0 days 09:37:17.342028704,1415527,1,0.0,291.02,,100.0,,,
E,0 days 09:37:19.598173686,1420259,0,0.0,291.01,,500.0,,,
E,0 days 09:37:19.598173686,1420305,0,0.0,291.01,,500.0,,,
E,0 days 09:37:19.598173686,1419786,0,0.0,291.01,,100.0,,,
E,0 days 09:37:19.598173686,1420057,0,0.0,291.01,,100.0,,,
E,0 days 09:37:26.651574658,1442836,1,0.0,290.99,,200.0,,,
E,0 days 09:37:29.990253622,1444111,1,0.0,290.99,,3000.0,,,
E,0 days 09:37:29.990253622,1444230,1,0.0,290.99,,100.0,,,
E,0 days 09:37:30.006818704,1451862,1,0.0,290.99,,100.0,,,
E,0 days 09:37:30.009384522,1452201,1,0.0,290.99,,300.0,,,
E,0 days 09:37:36.080731171,1465025,0,0.0,291.0,,100.0,,,
E,0 days 09:37:47.669704870,1496572,1,0.0,291.02,,100.0,,,
E,0 days 09:37:48.188567442,1498316,1,0.0,291.02,,100.0,,,
E,0 days 09:37:50.330945710,1503024,1,0.0,291.02,,500.0,,,
E,0 days 09:37:54.253565637,1511916,0,0.0,291.02,,100.0,,,
E,0 days 09:38:07.195744804,1546668,1,0.0,291.05,,200.0,,,
E,0 days 09:38:07.195989469,1546690,1,0.0,291.05,,200.0,,,
E,0 days 09:38:09.453020537,1554066,1,0.0,291.02,,400.0,,,
E,0 days 09:38:17.944674857,1572085,1,0.0,291.02,,300.0,,,
E,0 days 09:38:30.238789502,1597946,0,0.0,290.99,,100.0,,,
E,0 days 09:38:39.738852866,1627388,1,0.0,290.99,,100.0,,,
E,0 days 09:38:39.979847152,1626930,0,0.0,290.98,,100.0,,,
E,0 days 09:38:51.164427907,1656857,0,0.0,290.99,,100.0,,,
E,0 days 09:38:55.225012146,1556607,0,0.0,290.96,,100.0,,,
E,0 days 09:38:55.225110358,1666505,0,0.0,290.96,,200.0,,,
E,0 days 09:38:55.225110358,1666511,0,0.0,290.96,,100.0,,,
E,0 days 09:38:55.493503431,1670443,1,0.0,290.94,,300.0,,,
E,0 days 09:38:55.493503431,1670444,1,0.0,290.94,,100.0,,,
E,0 days 09:38:55.611995958,1671275,1,0.0,290.93,,100.0,,,
E,0 days 09:38:55.843136750,1671546,1,900.0,290.94,,2100.0,,,
E,0 days 09:38:55.843136750,1671546,1,871.0,290.94,,29.0,,,
E,0 days 09:38:58.133696270,1679496,1,0.0,290.92,,200.0,,,
E,0 days 09:38:58.352907429,1671430,0,57.0,290.9,,43.0,,,
E,0 days 09:38:59.386418527,1685788,1,0.0,290.89,,100.0,,,
E,0 days 09:39:00.104639142,1689643,1,0.0,290.87,,300.0,,,
E,0 days 09:39:01.420150283,1690416,0,0.0,290.84,,100.0,,,
E,0 days 09:39:01.420367178,1697676,0,200.0,290.84,,100.0,,,
E,0 days 09:39:01.450253826,1698198,1,0.0,290.84,,100.0,,,
E,0 days 09:39:01.478733948,1699376,1,0.0,290.83,,100.0,,,
E,0 days 09:39:06.045130670,1713198,0,0.0,290.85,,100.0,,,
E,0 days 09:39:07.573627276,1722268,1,0.0,290.84,,200.0,,,
E,0 days 09:39:09.943613563,1730784,0,0.0,290.84,,500.0,,,
E,0 days 09:39:09.943613563,1730785,0,0.0,290.84,,500.0,,,
E,0 days 09:39:09.943613563,1728308,0,0.0,290.84,,300.0,,,
E,0 days 09:39:09.943613563,1730471,0,0.0,290.84,,100.0,,,
E,0 days 09:39:09.943613563,1726059,0,0.0,290.83,,200.0,,,
E,0 days 09:39:09.943613563,1728033,0,0.0,290.82,,500.0,,,
E,0 days 09:39:09.943613563,1697814,0,0.0,290.82,,100.0,,,
E,0 days 09:39:09.944054284,1731982,0,100.0,290.84,,200.0,,,
E,0 days 09:39:09.944059507,1731982,0,0.0,290.84,,100.0,,,
E,0 days 09:39:09.944424747,1699590,0,0.0,290.81,,100.0,,,
E,0 days 09:39:09.944424747,1732134,0,0.0,290.81,,100.0,,,
E,0 days 09:39:09.953227785,1733920,1,20.0,290.83,,80.0,,,
E,0 days 09:39:09.953227785,1733990,1,400.0,290.83,,100.0,,,
E,0 days 09:39:09.953227785,1733990,1,380.0,290.83,,20.0,,,
E,0 days 09:39:09.959466557,1733190,1,0.0,290.84,,200.0,,,
